datetime,open,high,low,close
2019-10-30 02:00:00,108.854,108.871,108.841,108.867
2019-10-30 02:20:00,108.868,108.873,108.857,108.864
2019-10-30 02:40:00,108.864,108.871,108.856,108.86
2019-10-30 03:00:00,108.86,108.864,108.852,108.854
2019-10-30 03:20:00,108.853,108.866,108.852,108.863
2019-10-30 03:40:00,108.864,108.867,108.839,108.849
2019-10-30 04:00:00,108.847,108.849,108.831,108.841
2019-10-30 04:20:00,108.842,108.844,108.821,108.823
2019-10-30 04:40:00,108.823,108.845,108.817,108.842
2019-10-30 05:00:00,108.843,108.856,108.842,108.849
2019-10-30 05:20:00,108.847,108.853,108.828,108.84
2019-10-30 05:40:00,108.84,108.858,108.826,108.856
2019-10-30 06:00:00,108.856,108.857,108.828,108.834
2019-10-30 06:20:00,108.835,108.842,108.83,108.839
2019-10-30 06:40:00,108.839,108.853,108.828,108.846
2019-10-30 07:00:00,108.846,108.853,108.831,108.835
2019-10-30 07:20:00,108.836,108.846,108.83,108.839
2019-10-30 07:40:00,108.838,108.857,108.829,108.851
2019-10-30 08:00:00,108.85,108.877,108.842,108.872
2019-10-30 08:20:00,108.871,108.872,108.824,108.827
2019-10-30 08:40:00,108.827,108.838,108.82,108.834
2019-10-30 09:00:00,108.833,108.837,108.813,108.826
2019-10-30 09:20:00,108.826,108.858,108.819,108.858
2019-10-30 09:40:00,108.858,108.859,108.845,108.852
2019-10-30 10:00:00,108.851,108.875,108.85,108.863
2019-10-30 10:20:00,108.862,108.871,108.842,108.845
2019-10-30 10:40:00,108.845,108.85,108.826,108.839
2019-10-30 11:00:00,108.839,108.849,108.834,108.841
2019-10-30 11:20:00,108.843,108.85,108.827,108.834
2019-10-30 11:40:00,108.834,108.854,108.834,108.835
2019-10-30 12:00:00,108.835,108.865,108.829,108.843
2019-10-30 12:20:00,108.842,108.943,108.819,108.912
2019-10-30 12:40:00,108.914,108.951,108.886,108.905
2019-10-30 13:00:00,108.905,108.958,108.905,108.954
2019-10-30 13:20:00,108.953,108.972,108.892,108.896
2019-10-30 13:40:00,108.895,108.913,108.858,108.908
2019-10-30 14:00:00,108.907,108.918,108.791,108.917
2019-10-30 14:20:00,108.916,108.919,108.87,108.883
2019-10-30 14:40:00,108.883,108.926,108.871,108.92
